Regionale,11427,"['S01003', 'S00001', 'S00002', 'S00003', 'S00004', 'S01008', 'S01009', 'S00006', 'S00007', 'S00008', 'S00010', 'S00011', 'S00012', 'S00014', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11429,"['S01003', 'S00001', 'S00002', 'S00003', 'S00004', 'S01008', 'S01009', 'S00006', 'S00007', 'S00008', 'S00010', 'S00011', 'S00012', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11433,"['S01003', 'S00001', 'S00002', 'S00003', 'S00004', 'S01008', 'S01009', 'S00006', 'S00007', 'S00008', 'S00010', 'S00011', 'S00012', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11437,"['S01003', 'S00001', 'S00002', 'S00003', 'S00004', 'S01008', 'S01009', 'S00006', 'S00007', 'S00008', 'S00010', 'S00011', 'S00012', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11439,"['S01003', 'S00001', 'S00003', 'S01009', 'S00006', 'S00007', 'S00010', 'S00011', 'S00012', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11417,"['S01003', 'S00001', 'S00002', 'S00003', 'S00004', 'S01008', 'S01009', 'S00006', 'S00007', 'S00008', 'S00010', 'S00011', 'S00012', 'S00015', 'S00016', 'S00017', 'S00019', 'S00020', 'S00248']"
Regionale,11428,"['S00248', 'S00020', 'S00019', 'S00022', 'S00018', 'S00017', 'S00016', 'S00015', 'S00012', 'S00011', 'S00010', 'S00008', 'S00007', 'S00006', 'S01009', 'S01008', 'S00004', 'S00003', 'S00002', 'S00001', 'S01003']"
Regionale,11432,"['S00248', 'S00020', 'S00019', 'S00017', 'S00016', 'S00015', 'S00012', 'S00011', 'S00010', 'S00008', 'S00007', 'S00006', 'S01009', 'S01008', 'S00004', 'S00003', 'S00002', 'S00001', 'S01003']"
Regionale,11436,"['S00248', 'S00020', 'S00019', 'S00022', 'S00018', 'S00017', 'S00016', 'S00015', 'S00012', 'S00011', 'S00010', 'S00008', 'S00007', 'S00006', 'S01009', 'S01008', 'S00004', 'S00003', 'S00002', 'S00001', 'S01003']"
Regionale,11440,"['S00248', 'S00020', 'S00019', 'S00022', 'S00018', 'S00017', 'S00016', 'S00015', 'S00012', 'S00011', 'S00010', 'S00008', 'S00007', 'S00006', 'S01009', 'S01008', 'S00004', 'S00003', 'S00002', 'S00001', 'S01003']"
Regionale,11404,[]
RV,3551,"['S02430', 'S02433', 'S02440', 'S02446', 'S02581', 'S02589', 'S02593']"
RV,2137,"['S00219', 'S00452', 'S00462', 'S00470', 'S04203', 'S04206', 'S04207', 'S04211', 'S04700']"
Regionale,10583,"['S01860', 'S00408', 'S00400', 'S00401', 'S00402', 'S00403', 'S00404', 'S00405', 'S00406', 'S00039', 'S00041', 'S00042', 'S00470']"
Regionale,11527,"['S01020', 'S00980', 'S00981', 'S00982', 'S00983', 'S00984', 'S00985', 'S00021', 'S00248']"
Regionale,11531,"['S01020', 'S00980', 'S00981', 'S00982', 'S00983', 'S00984', 'S00985', 'S00021', 'S00248']"
Regionale,11533,"['S01020', 'S00980', 'S00981', 'S00982', 'S00983', 'S00984', 'S00985', 'S00021', 'S00248']"
Regionale,11535,"['S01020', 'S00980', 'S00981', 'S00982', 'S00983', 'S00984', 'S00985', 'S00021', 'S00248']"
Regionale,11522,"['S00248', 'S00021', 'S00985', 'S00984', 'S00983', 'S00982', 'S00981', 'S00980', 'S01020']"
Regionale,11526,"['S00248', 'S00021', 'S00985', 'S00984', 'S00983', 'S00982', 'S00981', 'S00980', 'S01020']"
Regionale,11528,"['S00248', 'S00021', 'S00985', 'S00984', 'S00983', 'S00982', 'S00981', 'S00980', 'S01020']"
